gene_id,symbol,name,cytoband,type,num_cohort_ssm_affected_cases,num_cohort_ssm_cases,cohort_ssm_affected_cases_percentage,num_gdc_ssm_affected_cases,num_gdc_ssm_cases,gdc_ssm_affected_cases_percentage,num_cohort_cnv_cases,num_cohort_cnv_gain_cases,cohort_cnv_gain_cases_percentage,num_cohort_cnv_loss_cases,cohort_cnv_loss_cases_percentage,num_mutations,annotations
ENSG00000141510,TP53,tumor protein p53,17p13.1,protein_coding,443,1296,34.18,4964,16508,30.07,1100,50,4.55,565,51.36,263,Cancer Gene Census
ENSG00000121879,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",3q26.32,protein_coding,429,1296,33.1,1685,16508,10.21,1100,273,24.82,41,3.73,95,Cancer Gene Census
ENSG00000039068,CDH1,cadherin 1,16q22.1,protein_coding,161,1296,12.42,406,16508,2.46,1100,99,9.0,608,55.27,134,Cancer Gene Census
ENSG00000181143,MUC16,"mucin 16, cell surface associated",19p13.2,protein_coding,160,1296,12.35,2903,16508,17.59,1100,161,14.64,139,12.64,202,Cancer Gene Census
ENSG00000107485,GATA3,GATA binding protein 3,10p14,protein_coding,158,1296,12.19,386,16508,2.34,1100,280,25.45,103,9.36,103,Cancer Gene Census
ENSG00000055609,KMT2C,lysine methyltransferase 2C,7q36.1,protein_coding,105,1296,8.1,1063,16508,6.44,1100,239,21.73,154,14.0,116,Cancer Gene Census
ENSG00000095015,MAP3K1,mitogen-activated protein kinase kinase kinase 1,5q11.2,protein_coding,102,1296,7.87,385,16508,2.33,1100,164,14.91,221,20.09,141,Cancer Gene Census
ENSG00000171862,PTEN,phosphatase and tensin homolog,10q23.31,protein_coding,74,1296,5.71,1268,16508,7.68,1100,38,3.45,167,15.18,70,Cancer Gene Census
ENSG00000141027,NCOR1,nuclear receptor corepressor 1,"17p12, 17p11.2",protein_coding,60,1296,4.63,538,16508,3.26,1100,61,5.55,530,48.18,62,Cancer Gene Census
ENSG00000165323,FAT3,FAT atypical cadherin 3,11q14.3,protein_coding,58,1296,4.48,1438,16508,8.71,1100,133,12.09,377,34.27,66,Cancer Gene Census
ENSG00000164796,CSMD3,CUB and Sushi multiple domains 3,8q23.3,protein_coding,56,1296,4.32,1991,16508,12.06,1100,630,57.27,28,2.55,59,Cancer Gene Census
ENSG00000065559,MAP2K4,mitogen-activated protein kinase kinase 4,17p12,protein_coding,55,1296,4.24,214,16508,1.3,1100,46,4.18,557,50.64,50,Cancer Gene Census
ENSG00000196712,NF1,neurofibromin 1,17q11.2,protein_coding,53,1296,4.09,887,16508,5.37,1100,194,17.64,267,24.27,55,Cancer Gene Census
ENSG00000083857,FAT1,FAT atypical cadherin 1,4q35.2,protein_coding,52,1296,4.01,1069,16508,6.48,1100,103,9.36,282,25.64,51,Cancer Gene Census
ENSG00000065526,SPEN,spen family transcriptional repressor,"1p36.21, 1p36.13",protein_coding,51,1296,3.94,629,16508,3.81,1100,60,5.45,377,34.27,64,Cancer Gene Census
ENSG00000117713,ARID1A,AT-rich interaction domain 1A,1p36.11,protein_coding,51,1296,3.94,1154,16508,6.99,1100,70,6.36,369,33.55,52,Cancer Gene Census
ENSG00000168702,LRP1B,LDL receptor related protein 1B,"2q22.1, 2q22.2",protein_coding,50,1296,3.86,1784,16508,10.81,1100,98,8.91,175,15.91,55,Cancer Gene Census
ENSG00000159216,RUNX1,RUNX family transcription factor 1,21q22.12,protein_coding,48,1296,3.7,271,16508,1.64,1100,209,19.0,148,13.45,44,Cancer Gene Census
ENSG00000167548,KMT2D,lysine methyltransferase 2D,12q13.12,protein_coding,46,1296,3.55,1336,16508,8.09,1100,167,15.18,110,10.0,49,Cancer Gene Census
