Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Regulation,Project ID
A2ML1,630.401658273256,3.22912409666796,0.267630038202536,12.0656265580482,1.60436655686565e-33,1.02054232398603e-32,Upregulated,Project_TCGA-BRCA
AADAC,48.0836811522844,-4.00264257809873,0.296415622854326,-13.503480483098,1.49159572990095e-41,1.2475977651725099e-40,Downregulated,Project_TCGA-BRCA
AADACL3,2.43693834845826,-3.13686910754521,0.454662904814352,-6.89932931481634,5.224862360053349e-12,1.3424554223869598e-11,Downregulated,Project_TCGA-BRCA
AARD,3394.42701302429,2.15754491600914,0.193449516400465,11.1530127144012,6.92222076782453e-29,3.6851811788783897e-28,Upregulated,Project_TCGA-BRCA
ABCA10,231.056910138847,-3.34490754563308,0.148504787523275,-22.5239037839695,2.4207552884941904e-112,1.29473930799955e-110,Downregulated,Project_TCGA-BRCA
ABCA6,566.689851764601,-2.67465814245882,0.127614043844528,-20.9589639343876,1.5543352920636e-97,6.03255140589773e-96,Downregulated,Project_TCGA-BRCA
ABCA8,1044.11710559539,-3.90600842717697,0.169007764823046,-23.1114140303945,3.55491187752973e-118,2.18235816582187e-116,Downregulated,Project_TCGA-BRCA
ABCA9,529.332119374577,-3.59609117312954,0.144145912430264,-24.9475764695672,2.26869216139528e-137,2.0891230365452198e-135,Downregulated,Project_TCGA-BRCA
ABCB1,364.007817018208,-2.05310687170515,0.120159983590397,-17.0864443416022,1.87248741505003e-65,3.16490903174084e-64,Downregulated,Project_TCGA-BRCA
ABCB5,57.5980403864701,-3.55847886847304,0.198842217286001,-17.8959926973394,1.2671847774358e-71,2.5555765728410897e-70,Downregulated,Project_TCGA-BRCA
ABCC9,928.495343944579,-2.35027974349297,0.109101233843966,-21.5421921520547,6.26698295426572e-103,2.7493042973747298e-101,Downregulated,Project_TCGA-BRCA
ABCD2,216.405064566797,-4.11757331381296,0.152178641272979,-27.0574982097969,3.1173350391264997e-161,4.37817371466385e-159,Downregulated,Project_TCGA-BRCA
ABI3BP,1995.20142454199,-2.15703537521666,0.143915259518675,-14.9882325365,8.7654930394608e-51,9.908509271358069e-50,Downregulated,Project_TCGA-BRCA
AC007906.2,202.271806031622,-2.75238666130135,0.170926177166854,-16.1027801997499,2.43894841739293e-58,3.3888363704159897e-57,Downregulated,Project_TCGA-BRCA
AC008581.2,1.82652436276363,-2.13286073609217,0.189472129162109,-11.2568573833217,2.14263873338668e-29,1.16190537092152e-28,Downregulated,Project_TCGA-BRCA
AC009779.3,27.0096462603433,-2.71812261142697,0.0944954049309183,-28.7646009180454,5.94893443500211e-182,1.4889115133347598e-179,Downregulated,Project_TCGA-BRCA
AC010255.2,7.51393053408797,2.31241765530898,0.30299137730653,7.63195862491347,2.3121365084554202e-14,6.692990646213911e-14,Upregulated,Project_TCGA-BRCA
